start_time,end_time,start_sec,end_sec,diff_sec,on,label,meaning
2008-02-24 19:20:14,2008-02-24 19:22:57,1203898814,1203898977,163,1.0,24.0,Hall-Bedroom door
2008-02-25 04:33:40,2008-02-25 04:33:41,1203932020,1203932021,1,1.0,24.0,Hall-Bedroom door
2008-02-25 04:33:46,2008-02-25 12:21:12,1203932026,1203960072,28046,1.0,24.0,Hall-Bedroom door
2008-02-25 04:36:43,2008-02-25 04:37:03,1203932203,1203932223,20,1.0,5.0,Hall-Toilet door
2008-02-25 04:37:20,2008-02-25 04:37:23,1203932240,1203932243,3,1.0,6.0,Hall-Bathroom door
2008-02-25 04:37:50,2008-02-25 04:37:51,1203932270,1203932271,1,1.0,14.0,ToiletFlush
2008-02-25 04:37:54,2008-02-25 04:37:55,1203932274,1203932275,1,1.0,14.0,ToiletFlush
2008-02-25 04:37:57,2008-02-25 04:38:00,1203932277,1203932280,3,1.0,6.0,Hall-Bathroom door
2008-02-25 04:49:27,2008-02-25 04:49:28,1203932967,1203932968,1,1.0,9.0,Plates cupboard
2008-02-25 04:49:30,2008-02-25 04:49:38,1203932970,1203932978,8,1.0,9.0,Plates cupboard
2008-02-25 04:49:38,2008-02-25 04:49:43,1203932978,1203932983,5,1.0,8.0,Fridge
2008-02-25 04:49:53,2008-02-25 04:49:56,1203932993,1203932996,3,1.0,8.0,Fridge
2008-02-25 04:49:58,2008-02-25 04:50:04,1203932998,1203933004,6,1.0,1.0,Microwave
2008-02-25 04:50:39,2008-02-25 04:50:41,1203933039,1203933041,2,1.0,23.0,Groceries Cupboard
2008-02-25 04:52:10,2008-02-25 04:53:20,1203933130,1203933200,70,1.0,1.0,Microwave
2008-02-25 04:53:22,2008-02-25 04:53:24,1203933202,1203933204,2,1.0,23.0,Groceries Cupboard
2008-02-25 04:57:23,2008-02-25 05:01:26,1203933443,1203933686,243,1.0,13.0,Dishwasher
2008-02-25 04:57:45,2008-02-25 04:58:28,1203933465,1203933508,43,1.0,9.0,Plates cupboard
2008-02-25 04:58:32,2008-02-25 04:58:34,1203933512,1203933514,2,1.0,18.0,Pans Cupboard
2008-02-25 04:59:16,2008-02-25 04:59:18,1203933556,1203933558,2,1.0,7.0,Cups cupboard
2008-02-25 04:59:59,2008-02-25 05:00:03,1203933599,1203933603,4,1.0,9.0,Plates cupboard
2008-02-25 05:02:31,2008-02-25 05:02:53,1203933751,1203933773,22,1.0,5.0,Hall-Toilet door
2008-02-25 05:10:15,2008-02-25 05:10:16,1203934215,1203934216,1,1.0,5.0,Hall-Toilet door
2008-02-25 05:10:20,2008-02-25 12:00:28,1203934220,1203958828,24608,1.0,5.0,Hall-Toilet door
2008-02-25 05:19:27,2008-02-25 05:19:31,1203934767,1203934771,4,1.0,12.0,Frontdoor
2008-02-25 11:54:36,2008-02-25 11:54:41,1203958476,1203958481,5,1.0,12.0,Frontdoor
2008-02-25 11:59:03,2008-02-25 11:59:10,1203958743,1203958750,7,1.0,8.0,Fridge
2008-02-25 11:59:14,2008-02-25 11:59:42,1203958754,1203958782,28,1.0,23.0,Groceries Cupboard
2008-02-25 11:59:47,2008-02-25 11:59:51,1203958787,1203958791,4,1.0,8.0,Fridge
2008-02-25 12:00:32,2008-02-25 12:00:37,1203958832,1203958837,5,1.0,6.0,Hall-Bathroom door
2008-02-25 12:01:21,2008-02-25 12:01:22,1203958881,1203958882,1,1.0,14.0,ToiletFlush
2008-02-25 12:01:27,2008-02-25 12:01:31,1203958887,1203958891,4,1.0,6.0,Hall-Bathroom door
2008-02-25 12:17:38,2008-02-25 12:17:39,1203959858,1203959859,1,1.0,18.0,Pans Cupboard
2008-02-25 12:17:42,2008-02-25 12:17:43,1203959862,1203959863,1,1.0,18.0,Pans Cupboard
2008-02-25 12:17:48,2008-02-25 12:17:50,1203959868,1203959870,2,1.0,18.0,Pans Cupboard
2008-02-25 12:19:38,2008-02-25 12:19:43,1203959978,1203959983,5,1.0,12.0,Frontdoor
2008-02-25 12:22:47,2008-02-25 12:22:49,1203960167,1203960169,2,1.0,18.0,Pans Cupboard
2008-02-25 12:55:00,2008-02-25 12:55:01,1203962100,1203962101,1,1.0,8.0,Fridge
2008-02-25 12:55:05,2008-02-25 12:55:16,1203962105,1203962116,11,1.0,8.0,Fridge
2008-02-25 12:55:08,2008-02-25 12:55:10,1203962108,1203962110,2,1.0,7.0,Cups cupboard
2008-02-25 12:55:11,2008-02-25 12:55:12,1203962111,1203962112,1,1.0,7.0,Cups cupboard
2008-02-25 12:55:14,2008-02-25 12:55:16,1203962114,1203962116,2,1.0,7.0,Cups cupboard
2008-02-25 12:55:27,2008-02-25 12:55:29,1203962127,1203962129,2,1.0,8.0,Fridge
2008-02-25 12:55:42,2008-02-25 12:55:46,1203962142,1203962146,4,1.0,8.0,Fridge
2008-02-25 13:31:57,2008-02-25 13:32:01,1203964317,1203964321,4,1.0,6.0,Hall-Bathroom door
2008-02-25 13:32:07,2008-02-25 13:32:08,1203964327,1203964328,1,1.0,6.0,Hall-Bathroom door
2008-02-25 13:33:04,2008-02-25 13:33:06,1203964384,1203964386,2,1.0,14.0,ToiletFlush
2008-02-25 13:33:33,2008-02-25 13:33:35,1203964413,1203964415,2,1.0,6.0,Hall-Bathroom door
2008-02-25 14:21:33,2008-02-25 14:21:35,1203967293,1203967295,2,1.0,24.0,Hall-Bedroom door
2008-02-25 14:21:39,2008-02-25 14:21:48,1203967299,1203967308,9,1.0,24.0,Hall-Bedroom door
2008-02-25 14:36:16,2008-02-25 14:36:18,1203968176,1203968178,2,1.0,7.0,Cups cupboard
2008-02-25 14:40:26,2008-02-25 14:40:45,1203968426,1203968445,19,1.0,23.0,Groceries Cupboard
2008-02-25 14:40:47,2008-02-25 14:40:58,1203968447,1203968458,11,1.0,8.0,Fridge
2008-02-25 14:40:59,2008-02-25 14:41:00,1203968459,1203968460,1,1.0,8.0,Fridge
2008-02-25 14:41:02,2008-02-25 14:41:03,1203968462,1203968463,1,1.0,8.0,Fridge
