start_time,end_time,start_sec,end_sec,diff_sec,on,label,meaning
2008-11-19 17:47:46,2008-11-19 17:49:17,1227134866,1227134957,91,1.0,28.0,"voordeur, reed "
2008-11-19 17:49:20,2008-11-19 17:49:22,1227134960,1227134962,2,1.0,28.0,"voordeur, reed "
2008-11-19 17:49:24,2008-11-19 17:50:14,1227134964,1227135014,50,1.0,28.0,"voordeur, reed "
2008-11-19 17:50:18,2008-11-20 06:14:11,1227135018,1227179651,44633,1.0,28.0,"voordeur, reed "
2008-11-19 17:51:02,2008-11-19 17:51:04,1227135062,1227135064,2,1.0,25.0,deur toilet beneden
2008-11-19 17:51:04,2008-11-19 17:51:45,1227135064,1227135105,41,1.0,25.0,deur toilet beneden
2008-11-19 17:51:49,2008-11-20 06:03:26,1227135109,1227179006,43897,1.0,25.0,deur toilet beneden
2008-11-19 17:52:17,2008-11-20 06:04:01,1227135137,1227179041,43904,1.0,10.0,toilet flush beneden. flush 
2008-11-19 17:59:12,2008-11-19 17:59:40,1227135552,1227135580,28,1.0,23.0,"kastje borden/kruiden,reed "
2008-11-19 17:59:53,2008-11-19 18:00:04,1227135593,1227135604,11,1.0,30.0,"koelkast, reed "
2008-11-19 18:00:06,2008-11-19 19:15:08,1227135606,1227140108,4502,1.0,30.0,"koelkast, reed "
2008-11-19 18:00:26,2008-11-19 18:00:32,1227135626,1227135632,6,1.0,23.0,"kastje borden/kruiden,reed "
2008-11-19 18:01:13,2008-11-19 18:01:14,1227135673,1227135674,1,1.0,6.0,"mat bank, huiskamer"
2008-11-19 18:01:21,2008-11-19 18:01:22,1227135681,1227135682,1,1.0,6.0,"mat bank, huiskamer"
2008-11-19 18:02:40,2008-11-19 18:02:42,1227135760,1227135762,2,1.0,6.0,"mat bank, huiskamer"
2008-11-19 18:18:40,2008-11-19 18:18:42,1227136720,1227136722,2,1.0,6.0,"mat bank, huiskamer"
2008-11-19 18:18:59,2008-11-19 18:19:01,1227136739,1227136741,2,1.0,6.0,"mat bank, huiskamer"
2008-11-19 18:19:17,2008-11-19 18:19:19,1227136757,1227136759,2,1.0,6.0,"mat bank, huiskamer"
2008-11-19 18:22:25,2008-11-19 18:22:27,1227136945,1227136947,2,1.0,6.0,"mat bank, huiskamer"
2008-11-19 18:23:44,2008-11-19 18:23:46,1227137024,1227137026,2,1.0,6.0,"mat bank, huiskamer"
2008-11-19 19:15:10,2008-11-19 19:15:12,1227140110,1227140112,2,1.0,30.0,"koelkast, reed "
2008-11-19 19:15:29,2008-11-19 19:39:15,1227140129,1227141555,1426,1.0,30.0,"koelkast, reed "
2008-11-19 19:15:42,2008-11-19 19:16:06,1227140142,1227140166,24,1.0,23.0,"kastje borden/kruiden,reed "
2008-11-19 19:16:16,2008-11-19 19:16:17,1227140176,1227140177,1,1.0,6.0,"mat bank, huiskamer"
2008-11-19 19:39:18,2008-11-20 05:42:21,1227141558,1227177741,36183,1.0,30.0,"koelkast, reed "
2008-11-19 19:39:23,2008-11-19 19:39:24,1227141563,1227141564,1,1.0,18.0,"bestek la, kwik sensor "
2008-11-19 19:39:28,2008-11-19 19:39:41,1227141568,1227141581,13,1.0,23.0,"kastje borden/kruiden,reed "
2008-11-19 19:39:46,2008-11-19 19:39:48,1227141586,1227141588,2,1.0,23.0,"kastje borden/kruiden,reed "
2008-11-19 19:39:54,2008-11-19 19:39:55,1227141594,1227141595,1,1.0,23.0,"kastje borden/kruiden,reed "
2008-11-19 19:40:10,2008-11-19 19:40:12,1227141610,1227141612,2,1.0,6.0,"mat bank, huiskamer"
2008-11-19 19:40:11,2008-11-19 19:40:12,1227141611,1227141612,1,1.0,6.0,"mat bank, huiskamer"
2008-11-19 20:03:43,2008-11-19 20:03:45,1227143023,1227143025,2,1.0,6.0,"mat bank, huiskamer"
2008-11-19 20:03:46,2008-11-19 20:03:47,1227143026,1227143027,1,1.0,6.0,"mat bank, huiskamer"
2008-11-19 20:08:13,2008-11-19 20:08:14,1227143293,1227143294,1,1.0,6.0,"mat bank, huiskamer"
2008-11-19 20:30:23,2008-11-19 20:30:24,1227144623,1227144624,1,1.0,16.0,badkamer klapdeur links
2008-11-19 20:32:04,2008-11-19 20:33:42,1227144724,1227144822,98,1.0,38.0,"wasbak boven, flush "
2008-11-19 20:32:08,2008-11-20 03:49:33,1227144728,1227170973,26245,1.0,8.0,"toilet flush boven, flush "
2008-11-19 20:33:42,2008-11-19 20:33:44,1227144822,1227144824,2,1.0,38.0,"wasbak boven, flush "
2008-11-19 20:34:00,2008-11-19 20:34:01,1227144840,1227144841,1,1.0,35.0,"badkuip, pir "
