start_time,end_time,start_sec,end_sec,diff_sec,label,meaning
2008-02-24 19:19:32,2008-02-24 19:21:23,1203898772,1203898883,111,6.0,brush teeth
2008-02-24 19:22:46,2008-02-25 04:34:12,1203898966,1203932052,33086,10.0,go to bed
2008-02-25 04:37:16,2008-02-25 04:38:02,1203932236,1203932282,46,4.0,use toilet
2008-02-25 04:49:23,2008-02-25 04:53:28,1203932963,1203933208,245,13.0,prepare Breakfast
2008-02-25 04:57:21,2008-02-25 05:01:30,1203933441,1203933690,249,19.0,unload dishwasher
2008-02-25 05:02:27,2008-02-25 05:12:41,1203933747,1203934361,614,5.0,take shower
2008-02-25 05:19:05,2008-02-25 11:55:37,1203934745,1203958537,23792,1.0,leave house
2008-02-25 11:58:44,2008-02-25 11:59:55,1203958724,1203958795,71,20.0,store groceries
2008-02-25 12:00:30,2008-02-25 12:01:33,1203958830,1203958893,63,4.0,use toilet
2008-02-25 12:19:23,2008-02-25 16:55:26,1203959963,1203976526,16563,25.0,receive guest
2008-02-25 12:54:55,2008-02-25 12:55:58,1203962095,1203962158,63,17.0,get drink
2008-02-25 13:31:53,2008-02-25 13:33:37,1203964313,1203964417,104,4.0,use toilet
2008-02-25 14:40:26,2008-02-25 15:22:58,1203968426,1203970978,2552,15.0,prepare Dinner
2008-02-25 15:23:11,2008-02-25 15:23:35,1203970991,1203971015,24,17.0,get drink
2008-02-25 15:23:54,2008-02-25 15:46:27,1203971034,1203972387,1353,3.0,Eating
2008-02-25 16:51:29,2008-02-25 16:52:36,1203976289,1203976356,67,4.0,use toilet
2008-02-25 16:55:32,2008-02-25 16:59:07,1203976532,1203976747,215,16.0,get snack
2008-02-25 18:05:34,2008-02-25 18:19:10,1203980734,1203981550,816,18.0,put items in dishwasher
2008-02-25 18:21:14,2008-02-26 04:15:30,1203981674,1204017330,35656,10.0,go to bed
2008-02-25 18:22:38,2008-02-25 18:24:38,1203981758,1203981878,120,6.0,brush teeth
2008-02-25 18:28:30,2008-02-25 18:29:14,1203982110,1203982154,44,4.0,use toilet
2008-02-25 19:39:24,2008-02-25 19:39:39,1203986364,1203986379,15,4.0,use toilet
2008-02-25 22:13:39,2008-02-25 22:14:40,1203995619,1203995680,61,4.0,use toilet
2008-02-26 03:35:59,2008-02-26 03:36:38,1204014959,1204014998,39,4.0,use toilet
2008-02-26 04:15:40,2008-02-26 04:19:00,1204017340,1204017540,200,4.0,use toilet
2008-02-26 04:26:42,2008-02-26 04:29:08,1204018002,1204018148,146,13.0,prepare Breakfast
2008-02-26 04:48:07,2008-02-26 04:58:56,1204019287,1204019936,649,5.0,take shower
2008-02-26 05:05:59,2008-02-26 15:34:20,1204020359,1204058060,37701,1.0,leave house
2008-02-26 15:36:41,2008-02-26 17:11:29,1204058201,1204063889,5688,25.0,receive guest
2008-02-26 16:02:34,2008-02-26 16:04:01,1204059754,1204059841,87,4.0,use toilet
2008-02-26 16:39:22,2008-02-26 16:40:12,1204061962,1204062012,50,17.0,get drink
2008-02-26 17:55:59,2008-02-26 17:58:50,1204066559,1204066730,171,4.0,use toilet
2008-02-26 17:59:36,2008-02-26 18:00:34,1204066776,1204066834,58,6.0,brush teeth
2008-02-26 18:01:33,2008-02-27 03:00:48,1204066893,1204099248,32355,10.0,go to bed
2008-02-27 00:29:11,2008-02-27 00:30:25,1204090151,1204090225,74,4.0,use toilet
2008-02-27 03:01:22,2008-02-27 03:02:58,1204099282,1204099378,96,13.0,prepare Breakfast
2008-02-27 03:13:55,2008-02-27 03:16:06,1204100035,1204100166,131,4.0,use toilet
2008-02-27 03:16:45,2008-02-27 03:27:19,1204100205,1204100839,634,5.0,take shower
2008-02-27 03:34:24,2008-02-27 13:59:03,1204101264,1204138743,37479,1.0,leave house
2008-02-27 13:59:55,2008-02-27 14:19:07,1204138795,1204139947,1152,15.0,prepare Dinner
2008-02-27 14:19:51,2008-02-27 14:20:10,1204139991,1204140010,19,17.0,get drink
2008-02-27 18:03:22,2008-02-27 18:05:40,1204153402,1204153540,138,4.0,use toilet
2008-02-27 18:06:09,2008-02-27 18:14:26,1204153569,1204154066,497,19.0,unload dishwasher
2008-02-27 19:08:57,2008-02-27 19:10:45,1204157337,1204157445,108,6.0,brush teeth
2008-02-27 19:11:05,2008-02-27 19:13:58,1204157465,1204157638,173,4.0,use toilet
2008-02-27 19:16:15,2008-02-28 04:48:33,1204157775,1204192113,34338,10.0,go to bed
2008-02-28 02:06:27,2008-02-28 02:07:24,1204182387,1204182444,57,4.0,use toilet
2008-02-28 04:48:55,2008-02-28 04:49:32,1204192135,1204192172,37,4.0,use toilet
2008-02-28 04:49:58,2008-02-28 04:51:46,1204192198,1204192306,108,13.0,prepare Breakfast
2008-02-28 05:35:24,2008-02-28 05:37:49,1204194924,1204195069,145,4.0,use toilet
2008-02-28 05:38:00,2008-02-28 05:49:22,1204195080,1204195762,682,5.0,take shower
2008-02-28 05:58:02,2008-02-28 13:34:57,1204196282,1204223697,27415,1.0,leave house
2008-02-28 13:35:21,2008-02-28 13:37:49,1204223721,1204223869,148,16.0,get snack
2008-02-28 13:48:01,2008-02-28 13:48:51,1204224481,1204224531,50,4.0,use toilet
2008-02-28 13:49:19,2008-02-28 13:51:27,1204224559,1204224687,128,6.0,brush teeth
2008-02-28 13:53:26,2008-02-28 16:35:30,1204224806,1204234530,9724,1.0,leave house
2008-02-28 16:40:40,2008-02-28 16:42:22,1204234840,1204234942,102,4.0,use toilet
2008-02-28 17:20:56,2008-02-28 17:21:22,1204237256,1204237282,26,16.0,get snack
2008-02-28 18:21:40,2008-02-28 18:23:18,1204240900,1204240998,98,6.0,brush teeth
2008-02-28 18:23:35,2008-02-28 18:24:25,1204241015,1204241065,50,4.0,use toilet
2008-02-28 18:24:40,2008-02-29 05:20:47,1204241080,1204280447,39367,10.0,go to bed
2008-02-29 03:03:13,2008-02-29 03:04:22,1204272193,1204272262,69,4.0,use toilet
2008-02-29 05:22:46,2008-02-29 05:26:49,1204280566,1204280809,243,13.0,prepare Breakfast
2008-02-29 05:30:01,2008-02-29 05:30:37,1204281001,1204281037,36,4.0,use toilet
2008-02-29 05:30:55,2008-02-29 05:40:45,1204281055,1204281645,590,5.0,take shower
2008-02-29 05:48:43,2008-02-29 13:18:34,1204282123,1204309114,26991,1.0,leave house
2008-02-29 13:41:13,2008-02-29 14:21:59,1204310473,1204312919,2446,1.0,leave house
2008-02-29 14:24:05,2008-02-29 14:25:05,1204313045,1204313105,60,4.0,use toilet
2008-02-29 14:41:22,2008-02-29 14:44:13,1204314082,1204314253,171,18.0,put items in dishwasher
2008-02-29 14:44:50,2008-02-29 15:59:56,1204314290,1204318796,4506,15.0,prepare Dinner
2008-02-29 17:03:06,2008-03-02 14:37:56,1204322586,1204486676,164090,1.0,leave house
2008-03-02 15:32:09,2008-03-02 15:34:45,1204489929,1204490085,156,22.0,put clothes in washingmachine
2008-03-02 15:35:53,2008-03-02 15:37:02,1204490153,1204490222,69,6.0,brush teeth
2008-03-02 15:37:05,2008-03-02 15:37:41,1204490225,1204490261,36,4.0,use toilet
2008-03-02 15:57:26,2008-03-02 16:01:27,1204491446,1204491687,241,16.0,get snack
2008-03-02 16:49:34,2008-03-02 16:50:09,1204494574,1204494609,35,23.0,unload washingmachine
2008-03-02 16:57:57,2008-03-02 17:03:12,1204495077,1204495392,315,4.0,use toilet
2008-03-02 17:03:51,2008-03-03 03:49:59,1204495431,1204534199,38768,10.0,go to bed
2008-03-03 03:50:25,2008-03-03 03:52:12,1204534225,1204534332,107,4.0,use toilet
2008-03-03 04:01:32,2008-03-03 04:03:18,1204534892,1204534998,106,13.0,prepare Breakfast
2008-03-03 04:17:14,2008-03-03 04:32:32,1204535834,1204536752,918,5.0,take shower
2008-03-03 04:44:52,2008-03-04 04:08:02,1204537492,1204621682,84190,1.0,leave house
2008-03-04 04:08:26,2008-03-04 04:10:00,1204621706,1204621800,94,6.0,brush teeth
2008-03-04 04:10:38,2008-03-04 04:11:33,1204621838,1204621893,55,4.0,use toilet
2008-03-04 04:15:43,2008-03-04 13:20:12,1204622143,1204654812,32669,1.0,leave house
2008-03-04 13:20:29,2008-03-04 13:23:27,1204654829,1204655007,178,4.0,use toilet
2008-03-04 13:24:10,2008-03-04 13:25:39,1204655050,1204655139,89,22.0,put clothes in washingmachine
2008-03-04 13:28:05,2008-03-04 13:29:10,1204655285,1204655350,65,6.0,brush teeth
2008-03-04 13:30:26,2008-03-04 18:43:46,1204655426,1204674226,18800,1.0,leave house
2008-03-04 18:44:21,2008-03-04 18:45:21,1204674261,1204674321,60,4.0,use toilet
2008-03-04 18:46:11,2008-03-04 18:46:42,1204674371,1204674402,31,23.0,unload washingmachine
2008-03-04 18:52:12,2008-03-04 18:52:48,1204674732,1204674768,36,17.0,get drink
2008-03-04 19:01:19,2008-03-04 19:04:45,1204675279,1204675485,206,4.0,use toilet
2008-03-04 19:18:01,2008-03-04 19:19:54,1204676281,1204676394,113,6.0,brush teeth
2008-03-04 19:20:27,2008-03-04 19:21:32,1204676427,1204676492,65,4.0,use toilet
2008-03-04 19:21:43,2008-03-05 04:28:27,1204676503,1204709307,32804,10.0,go to bed
2008-03-05 01:00:13,2008-03-05 01:01:08,1204696813,1204696868,55,4.0,use toilet
2008-03-05 04:28:50,2008-03-05 04:29:38,1204709330,1204709378,48,4.0,use toilet
2008-03-05 04:29:55,2008-03-05 04:31:31,1204709395,1204709491,96,13.0,prepare Breakfast
2008-03-05 04:45:37,2008-03-05 04:53:46,1204710337,1204710826,489,5.0,take shower
2008-03-05 05:11:38,2008-03-05 14:48:47,1204711898,1204746527,34629,1.0,leave house
2008-03-05 14:51:28,2008-03-05 15:26:59,1204746688,1204748819,2131,15.0,prepare Dinner
2008-03-05 15:13:14,2008-03-05 15:14:35,1204747994,1204748075,81,4.0,use toilet
2008-03-05 18:07:01,2008-03-05 18:08:21,1204758421,1204758501,80,4.0,use toilet
2008-03-05 18:30:36,2008-03-05 18:32:31,1204759836,1204759951,115,6.0,brush teeth
2008-03-05 18:32:46,2008-03-05 18:33:19,1204759966,1204759999,33,4.0,use toilet
2008-03-05 18:33:38,2008-03-06 03:39:21,1204760018,1204792761,32743,10.0,go to bed
2008-03-05 23:38:02,2008-03-05 23:38:56,1204778282,1204778336,54,4.0,use toilet
2008-03-06 03:39:34,2008-03-06 03:40:18,1204792774,1204792818,44,4.0,use toilet
2008-03-06 04:04:04,2008-03-06 04:09:55,1204794244,1204794595,351,13.0,prepare Breakfast
2008-03-06 04:38:47,2008-03-06 04:43:12,1204796327,1204796592,265,4.0,use toilet
