start_time,end_time,start_sec,end_sec,diff_sec,label,meaning
2009-07-24 12:11:38,2009-07-24 12:45:13,1248451898,1248453913,2015,33.0,Setting up sensors
2009-07-24 12:46:19,2009-07-24 14:32:57,1248453979,1248460377,6398,1.0,Leaving the house
2009-07-24 14:33:15,2009-07-24 15:10:50,1248460395,1248462650,2255,34.0,Unpacking
2009-07-24 15:46:28,2009-07-24 16:12:30,1248464788,1248466350,1562,29.0,Answering phone
2009-07-24 16:21:50,2009-07-24 16:39:39,1248466910,1248467979,1069,15.0,Prepare dinner
2009-07-24 16:42:54,2009-07-24 16:46:36,1248468174,1248468396,222,31.0,Eat dinner
2009-07-24 16:46:57,2009-07-24 16:47:14,1248468417,1248468434,17,17.0,Get a drink
2009-07-24 16:47:30,2009-07-24 17:01:02,1248468450,1248469262,812,31.0,Eat dinner
2009-07-24 17:03:41,2009-07-24 17:15:02,1248469421,1248470102,681,24.0,Wash dishes
2009-07-24 17:15:45,2009-07-24 17:18:58,1248470145,1248470338,193,36.0,On phone
2009-07-24 17:19:54,2009-07-24 17:22:36,1248470394,1248470556,162,6.0,Brush teeth
2009-07-24 17:25:20,2009-07-24 22:46:34,1248470720,1248489994,19274,1.0,Leaving the house
2009-07-24 22:54:18,2009-07-25 02:54:01,1248490458,1248504841,14383,10.0,Go to bed
2009-07-25 02:55:52,2009-07-25 02:56:41,1248504952,1248505001,49,17.0,Get a drink
2009-07-25 03:04:19,2009-07-25 07:08:25,1248505459,1248520105,14646,10.0,Go to bed
2009-07-25 07:08:51,2009-07-25 07:09:45,1248520131,1248520185,54,4.0,Use toilet
2009-07-25 07:10:27,2009-07-25 07:12:54,1248520227,1248520374,147,38.0,Wash toaster
2009-07-25 07:13:25,2009-07-25 07:29:22,1248520405,1248521362,957,13.0,Prepare brunch
2009-07-25 07:29:53,2009-07-25 07:50:47,1248521393,1248522647,1254,32.0,Eat brunch
2009-07-25 07:51:31,2009-07-25 07:54:32,1248522691,1248522872,181,4.0,Use toilet
2009-07-25 08:25:19,2009-07-25 08:32:56,1248524719,1248525176,457,40.0,Play piano
2009-07-25 09:03:31,2009-07-25 09:13:59,1248527011,1248527639,628,5.0,Take shower
2009-07-25 09:14:03,2009-07-25 09:14:36,1248527643,1248527676,33,11.0,Get dressed
2009-07-25 09:15:06,2009-07-25 09:17:02,1248527706,1248527822,116,6.0,Brush teeth
2009-07-25 09:22:37,2009-07-25 10:26:07,1248528157,1248531967,3810,35.0,Install sensor
2009-07-25 10:29:42,2009-07-25 10:30:28,1248532182,1248532228,46,17.0,Get a drink
2009-07-25 10:30:33,2009-07-25 11:04:52,1248532233,1248534292,2059,40.0,Play piano
2009-07-25 11:12:05,2009-07-25 23:33:10,1248534725,1248579190,44465,1.0,Leaving the house
2009-07-25 23:33:25,2009-07-26 05:32:18,1248579205,1248600738,21533,10.0,Go to bed
2009-07-26 05:32:21,2009-07-26 05:32:41,1248600741,1248600761,20,17.0,Get a drink
2009-07-26 05:32:43,2009-07-26 07:38:58,1248600763,1248608338,7575,10.0,Go to bed
2009-07-26 08:09:36,2009-07-26 08:21:48,1248610176,1248610908,732,13.0,Prepare brunch
2009-07-26 08:22:20,2009-07-26 08:43:27,1248610940,1248612207,1267,32.0,Eat brunch
2009-07-26 08:44:25,2009-07-26 08:47:22,1248612265,1248612442,177,37.0,Fasten kitchen camera
2009-07-26 10:05:28,2009-07-26 10:09:15,1248617128,1248617355,227,4.0,Use toilet
2009-07-26 10:27:05,2009-07-26 10:45:43,1248618425,1248619543,1118,40.0,Play piano
2009-07-26 11:41:14,2009-07-26 11:41:18,1248622874,1248622878,4,4.0,Use toilet
2009-07-26 11:41:34,2009-07-26 11:49:58,1248622894,1248623398,504,5.0,Take shower
2009-07-26 11:50:03,2009-07-26 11:54:07,1248623403,1248623647,244,11.0,Get dressed
2009-07-26 11:54:27,2009-07-26 11:56:07,1248623667,1248623767,100,6.0,Brush teeth
2009-07-26 11:59:41,2009-07-26 12:18:35,1248623981,1248625115,1134,40.0,Play piano
2009-07-26 12:19:19,2009-07-27 00:58:12,1248625159,1248670692,45533,1.0,Leaving the house
2009-07-27 00:58:44,2009-07-27 08:15:38,1248670724,1248696938,26214,10.0,Go to bed
2009-07-27 01:02:46,2009-07-27 01:03:24,1248670966,1248671004,38,4.0,Use toilet
2009-07-27 08:17:38,2009-07-27 08:17:42,1248697058,1248697062,4,4.0,Use toilet
2009-07-27 08:30:08,2009-07-27 08:47:48,1248697808,1248698868,1060,5.0,Take shower
2009-07-27 08:49:23,2009-07-27 08:51:54,1248698963,1248699114,151,11.0,Get dressed
2009-07-27 08:53:13,2009-07-27 08:54:03,1248699193,1248699243,50,17.0,Get a drink
2009-07-27 09:18:13,2009-07-27 19:04:32,1248700693,1248735872,35179,1.0,Leaving the house
2009-07-27 19:22:11,2009-07-27 19:22:51,1248736931,1248736971,40,6.0,Brush teeth
2009-07-27 19:25:08,2009-07-27 19:25:50,1248737108,1248737150,42,4.0,Use toilet
2009-07-27 19:25:10,2009-07-28 05:34:42,1248737110,1248773682,36572,10.0,Go to bed
2009-07-28 05:56:17,2009-07-28 05:57:11,1248774977,1248775031,54,4.0,Use toilet
2009-07-28 06:12:32,2009-07-28 06:12:46,1248775952,1248775966,14,11.0,Get dressed
2009-07-28 06:12:57,2009-07-28 06:23:51,1248775977,1248776631,654,13.0,Prepare brunch
2009-07-28 06:18:16,2009-07-28 06:20:17,1248776296,1248776417,121,40.0,Play piano
2009-07-28 06:23:57,2009-07-28 06:29:04,1248776637,1248776944,307,32.0,Eat brunch
2009-07-28 06:50:53,2009-07-28 07:00:10,1248778253,1248778810,557,5.0,Take shower
2009-07-28 07:00:53,2009-07-28 07:04:29,1248778853,1248779069,216,11.0,Get dressed
2009-07-28 07:06:42,2009-07-28 14:02:12,1248779202,1248804132,24930,1.0,Leaving the house
2009-07-28 14:04:18,2009-07-28 14:13:58,1248804258,1248804838,580,42.0,Gwenn searches keys
2009-07-28 14:16:44,2009-07-28 14:48:18,1248805004,1248806898,1894,15.0,Prepare dinner
2009-07-28 14:48:23,2009-07-28 14:56:29,1248806903,1248807389,486,31.0,Eat dinner
2009-07-28 15:16:35,2009-07-28 15:20:34,1248808595,1248808834,239,40.0,Play piano
2009-07-28 15:21:28,2009-07-28 16:07:52,1248808888,1248811672,2784,40.0,Play piano
2009-07-28 16:14:11,2009-07-28 16:14:55,1248812051,1248812095,44,44.0,Drop dish (No dishwash)
2009-07-28 16:46:02,2009-07-28 17:38:48,1248813962,1248817128,3166,40.0,Play piano
2009-07-28 18:35:13,2009-07-28 18:36:00,1248820513,1248820560,47,6.0,Brush teeth
2009-07-28 18:37:05,2009-07-29 05:48:20,1248820625,1248860900,40275,10.0,Go to bed
2009-07-29 06:19:59,2009-07-29 06:22:39,1248862799,1248862959,160,4.0,Use toilet
2009-07-29 06:23:27,2009-07-29 06:34:34,1248863007,1248863674,667,40.0,Play piano
2009-07-29 06:41:02,2009-07-29 06:50:00,1248864062,1248864600,538,5.0,Take shower
2009-07-29 06:50:02,2009-07-29 06:51:39,1248864602,1248864699,97,11.0,Get dressed
2009-07-29 07:17:28,2009-07-29 07:51:30,1248866248,1248868290,2042,1.0,Leaving the house
