start_time,end_time,start_sec,end_sec,diff_sec,on,label,meaning
2009-07-21 09:30:11,2009-07-21 09:30:13,1248183011,1248183013,2,1.0,1.0, toilet door
2009-07-21 09:30:18,2009-07-21 09:54:13,1248183018,1248184453,1435,1.0,1.0, toilet door
2009-07-21 09:37:54,2009-07-21 09:37:58,1248183474,1248183478,4,1.0,18.0, kwik dresser
2009-07-21 09:38:07,2009-07-21 09:38:09,1248183487,1248183489,2,1.0,18.0, kwik dresser
2009-07-21 09:38:09,2009-07-21 09:41:31,1248183489,1248183691,202,1.0,18.0, kwik dresser
2009-07-21 09:41:33,2009-07-21 09:41:35,1248183693,1248183695,2,1.0,18.0, kwik dresser
2009-07-21 09:41:37,2009-07-21 09:41:48,1248183697,1248183708,11,1.0,18.0, kwik dresser
2009-07-21 09:41:51,2009-07-21 09:41:52,1248183711,1248183712,1,1.0,18.0, kwik dresser
2009-07-21 09:43:36,2009-07-21 09:43:37,1248183816,1248183817,1,1.0,18.0, kwik dresser
2009-07-21 09:43:41,2009-07-21 09:43:43,1248183821,1248183823,2,1.0,18.0, kwik dresser
2009-07-21 09:43:52,2009-07-21 09:43:54,1248183832,1248183834,2,1.0,18.0, kwik dresser
2009-07-21 09:44:07,2009-07-21 09:44:09,1248183847,1248183849,2,1.0,18.0, kwik dresser
2009-07-21 09:44:09,2009-07-21 09:44:11,1248183849,1248183851,2,1.0,18.0, kwik dresser
2009-07-21 09:44:13,2009-07-21 11:32:58,1248183853,1248190378,6525,1.0,18.0, kwik dresser
2009-07-21 09:54:19,2009-07-21 09:54:28,1248184459,1248184468,9,1.0,7.0, frontdoor
2009-07-21 09:54:22,2009-07-21 09:54:23,1248184462,1248184463,1,1.0,1.0, toilet door
2009-07-21 11:19:22,2009-07-21 11:19:24,1248189562,1248189564,2,1.0,14.0,kwik cutlary drawer
2009-07-21 11:19:26,2009-07-21 11:19:28,1248189566,1248189568,2,1.0,14.0,kwik cutlary drawer
2009-07-21 11:33:01,2009-07-21 11:33:02,1248190381,1248190382,1,1.0,18.0, kwik dresser
2009-07-21 13:01:06,2009-07-21 13:01:07,1248195666,1248195667,1,1.0,18.0, kwik dresser
2009-07-21 13:01:09,2009-07-21 13:01:11,1248195669,1248195671,2,1.0,18.0, kwik dresser
2009-07-21 13:13:46,2009-07-21 13:13:47,1248196426,1248196427,1,1.0,18.0, kwik dresser
2009-07-21 13:13:51,2009-07-21 13:13:58,1248196431,1248196438,7,1.0,18.0, kwik dresser
2009-07-21 13:14:19,2009-07-21 13:14:21,1248196459,1248196461,2,1.0,18.0, kwik dresser
2009-07-21 13:14:23,2009-07-21 13:14:24,1248196463,1248196464,1,1.0,18.0, kwik dresser
2009-07-21 13:14:26,2009-07-21 13:14:28,1248196466,1248196468,2,1.0,18.0, kwik dresser
2009-07-21 13:14:44,2009-07-21 13:14:45,1248196484,1248196485,1,1.0,18.0, kwik dresser
2009-07-21 13:15:11,2009-07-21 13:15:13,1248196511,1248196513,2,1.0,18.0, kwik dresser
2009-07-21 13:15:13,2009-07-21 13:15:14,1248196513,1248196514,1,1.0,18.0, kwik dresser
2009-07-21 13:15:16,2009-07-21 13:15:18,1248196516,1248196518,2,1.0,18.0, kwik dresser
2009-07-21 13:44:44,2009-07-21 13:44:45,1248198284,1248198285,1,1.0,18.0, kwik dresser
2009-07-21 13:44:47,2009-07-21 13:44:49,1248198287,1248198289,2,1.0,18.0, kwik dresser
2009-07-21 13:48:09,2009-07-21 13:48:11,1248198489,1248198491,2,1.0,18.0, kwik dresser
2009-07-21 13:48:12,2009-07-21 13:48:13,1248198492,1248198493,1,1.0,18.0, kwik dresser
2009-07-21 13:48:16,2009-07-21 13:48:17,1248198496,1248198497,1,1.0,18.0, kwik dresser
2009-07-21 13:48:19,2009-07-21 13:48:20,1248198499,1248198500,1,1.0,18.0, kwik dresser
2009-07-21 13:48:21,2009-07-21 13:48:22,1248198501,1248198502,1,1.0,18.0, kwik dresser
2009-07-21 13:48:41,2009-07-21 13:48:43,1248198521,1248198523,2,1.0,18.0, kwik dresser
2009-07-21 13:48:49,2009-07-21 13:48:50,1248198529,1248198530,1,1.0,18.0, kwik dresser
2009-07-21 13:49:27,2009-07-21 13:49:29,1248198567,1248198569,2,1.0,18.0, kwik dresser
