start_time,end_time,start_sec,end_sec,diff_sec,label,meaning
2008-11-19 17:49:00,2008-11-19 17:49:59,1227134940,1227134999,59,1.0,leave house
2008-11-19 17:50:40,2008-11-19 17:51:45,1227135040,1227135105,65,4.0,use toilet downstairs
2008-11-19 17:59:25,2008-11-19 18:00:00,1227135565,1227135600,35,17.0,get drink
2008-11-19 18:00:50,2008-11-19 20:24:59,1227135650,1227144299,8649,28.0,relax
2008-11-19 19:14:50,2008-11-19 19:15:19,1227140090,1227140119,29,17.0,get drink
2008-11-19 19:39:00,2008-11-19 19:39:59,1227141540,1227141599,59,16.0,get snack
2008-11-19 20:30:29,2008-11-19 20:31:10,1227144629,1227144670,41,7.0,use toilet upstairs
2008-11-19 20:31:30,2008-11-19 20:36:20,1227144690,1227144980,290,6.0,brush teeth
2008-11-19 20:36:59,2008-11-20 04:31:40,1227145019,1227173500,28481,10.0,go to bed
2008-11-20 03:48:39,2008-11-20 03:49:40,1227170919,1227170980,61,7.0,use toilet upstairs
2008-11-20 04:32:49,2008-11-20 04:37:10,1227173569,1227173830,261,11.0,get dressed
2008-11-20 05:41:50,2008-11-20 05:47:00,1227177710,1227178020,310,13.0,prepare Breakfast
2008-11-20 05:47:00,2008-11-20 06:02:10,1227178020,1227178930,910,3.0,Eating
2008-11-20 06:03:00,2008-11-20 06:03:59,1227178980,1227179039,59,4.0,use toilet downstairs
2008-11-20 08:11:10,2008-11-20 08:22:29,1227186670,1227187349,679,14.0,prepare Lunch
2008-11-20 08:18:50,2008-11-20 08:20:40,1227187130,1227187240,110,4.0,use toilet downstairs
2008-11-20 08:22:29,2008-11-20 08:33:59,1227187349,1227188039,690,3.0,Eating
2008-11-20 08:35:20,2008-11-20 09:00:00,1227188120,1227189600,1480,28.0,relax
2008-11-20 10:28:00,2008-11-20 12:20:00,1227194880,1227201600,6720,1.0,leave house
2008-11-20 12:21:59,2008-11-20 12:23:20,1227201719,1227201800,81,4.0,use toilet downstairs
2008-11-20 12:27:19,2008-11-20 12:54:59,1227202039,1227203699,1660,15.0,prepare Dinner
2008-11-20 12:54:59,2008-11-20 13:30:30,1227203699,1227205830,2131,3.0,Eating
2008-11-20 13:14:29,2008-11-20 14:52:59,1227204869,1227210779,5910,28.0,relax
2008-11-20 14:50:10,2008-11-20 14:51:15,1227210610,1227210675,65,4.0,use toilet downstairs
2008-11-20 14:57:10,2008-11-20 17:38:00,1227211030,1227220680,9650,1.0,leave house
2008-11-20 19:44:30,2008-11-20 19:45:00,1227228270,1227228300,30,7.0,use toilet upstairs
2008-11-20 19:45:00,2008-11-20 19:50:00,1227228300,1227228600,300,12.0,take medication
2008-11-20 19:50:59,2008-11-21 06:20:00,1227228659,1227266400,37741,10.0,go to bed
2008-11-21 01:00:59,2008-11-21 01:04:40,1227247259,1227247480,221,7.0,use toilet upstairs
2008-11-21 06:21:29,2008-11-21 06:21:59,1227266489,1227266519,30,7.0,use toilet upstairs
2008-11-21 06:24:29,2008-11-21 06:27:40,1227266669,1227266860,191,11.0,get dressed
2008-11-21 06:33:30,2008-11-21 06:41:20,1227267210,1227267680,470,13.0,prepare Breakfast
2008-11-21 06:41:20,2008-11-21 07:03:29,1227267680,1227269009,1329,3.0,Eating
2008-11-21 08:07:59,2008-11-21 08:11:29,1227272879,1227273089,210,28.0,relax
2008-11-21 08:42:40,2008-11-21 08:47:29,1227274960,1227275249,289,14.0,prepare Lunch
2008-11-21 08:47:40,2008-11-21 09:03:50,1227275260,1227276230,970,3.0,Eating
2008-11-21 09:37:50,2008-11-21 09:38:40,1227278270,1227278320,50,17.0,get drink
2008-11-21 09:52:20,2008-11-21 09:54:59,1227279140,1227279299,159,4.0,use toilet downstairs
2008-11-21 10:42:59,2008-11-21 11:29:39,1227282179,1227284979,2800,5.0,take shower
2008-11-21 11:30:00,2008-11-21 11:33:29,1227285000,1227285209,209,11.0,get dressed
2008-11-21 11:43:50,2008-11-21 12:29:29,1227285830,1227288569,2739,1.0,leave house
2008-11-21 13:17:14,2008-11-21 13:22:09,1227291434,1227291729,295,6.0,brush teeth
2008-11-21 13:22:09,2008-11-21 13:23:10,1227291729,1227291790,61,7.0,use toilet upstairs
2008-11-21 13:23:29,2008-11-21 13:24:10,1227291809,1227291850,41,12.0,take medication
2008-11-21 13:30:30,2008-11-21 16:21:30,1227292230,1227302490,10260,1.0,leave house
2008-11-21 16:22:30,2008-11-21 16:23:20,1227302550,1227302600,50,4.0,use toilet downstairs
2008-11-21 16:30:30,2008-11-21 16:31:59,1227303030,1227303119,89,1.0,leave house
2008-11-21 17:30:20,2008-11-21 17:31:40,1227306620,1227306700,80,16.0,get snack
2008-11-21 19:22:22,2008-11-21 20:27:15,1227313342,1227317235,3893,28.0,relax
2008-11-21 20:28:19,2008-11-21 20:29:00,1227317299,1227317340,41,7.0,use toilet upstairs
2008-11-21 20:29:19,2008-11-21 20:33:50,1227317359,1227317630,271,6.0,brush teeth
2008-11-21 20:36:29,2008-11-22 04:37:10,1227317789,1227346630,28841,10.0,go to bed
2008-11-22 04:37:20,2008-11-22 04:38:19,1227346640,1227346699,59,7.0,use toilet upstairs
2008-11-22 04:38:49,2008-11-22 04:45:09,1227346729,1227347109,380,5.0,take shower
2008-11-22 04:45:29,2008-11-22 04:47:30,1227347129,1227347250,121,11.0,get dressed
2008-11-22 05:21:00,2008-11-22 05:26:00,1227349260,1227349560,300,13.0,prepare Breakfast
2008-11-22 05:26:00,2008-11-22 05:38:00,1227349560,1227350280,720,3.0,Eating
2008-11-22 05:44:29,2008-11-22 05:46:30,1227350669,1227350790,121,4.0,use toilet downstairs
2008-11-22 05:56:40,2008-11-22 07:29:29,1227351400,1227356969,5569,1.0,leave house
2008-11-22 07:31:59,2008-11-22 07:50:30,1227357119,1227358230,1111,14.0,prepare Lunch
2008-11-22 07:50:50,2008-11-22 07:56:59,1227358250,1227358619,369,3.0,Eating
2008-11-22 08:04:00,2008-11-22 08:09:00,1227359040,1227359340,300,1.0,leave house
2008-11-22 08:10:00,2008-11-22 12:28:00,1227359400,1227374880,15480,1.0,leave house
2008-11-22 12:46:09,2008-11-22 13:02:59,1227375969,1227376979,1010,15.0,prepare Dinner
2008-11-22 13:02:59,2008-11-22 13:16:39,1227376979,1227377799,820,3.0,Eating
2008-11-22 13:21:30,2008-11-22 13:34:59,1227378090,1227378899,809,9.0,shave
